ID,Name,Description,Media_Type,Download_URL,Path_In_Zip,version,Size,Length,Contribution_ID,Date_Updated
e03da67fc705772816d54a866a272f3d,annotation-notes.pdf,,application/pdf,media/annotation-notes.pdf,,,186199,,,
c4c72efdd50b7248330f114fe336ade1,image.jpg,,image/jpeg,media/image.jpg,,,69436,,,
d8b8e2385bf915dcbc6817945a6b0631,metadata.pdf,,application/pdf,media/metadata.pdf,,,255002,,,
968d4b0f708aab12a134497006285783,translated-texts.pdf,,application/pdf,media/translated-texts.pdf,,,669993,,,
devon01_mp3,mc_english_devon01.mp3,,audio/mpeg,media/mc_english_devon01.mp3,,,30412381,1900.747755,devon01,
devon01_wav,mc_english_devon01.wav,,audio/x-wav,media/mc_english_devon01.wav,,,335283756,1900.7013151927438,devon01,
devon01_eaf,mc_english_devon01.eaf,,application/eaf+xml,media/mc_english_devon01.eaf,,,3472298,,devon01,
devon01_xml,mc_english_devon01.xml,,application/xml,media/mc_english_devon01.xml,,,1188216,,devon01,
devon01_tsv,mc_english_devon01.tsv,,text/tab-separated-values,media/mc_english_devon01.tsv,,,230082,,devon01,
kent01_mp3,mc_english_kent01.mp3,,audio/mpeg,media/mc_english_kent01.mp3,,,26369044,1648.06525,kent01,
kent01_wav,mc_english_kent01.wav,,audio/x-wav,media/mc_english_kent01.wav,,,145369218,1648.1765759637187,kent01,
kent01_eaf,mc_english_kent01.eaf,,application/eaf+xml,media/mc_english_kent01.eaf,,,3910896,,kent01,
kent01_xml,mc_english_kent01.xml,,application/xml,media/mc_english_kent01.xml,,,1351721,,kent01,
kent01_tsv,mc_english_kent01.tsv,,text/tab-separated-values,media/mc_english_kent01.tsv,,,243753,,kent01,
kent02_a_mp3,mc_english_kent02_a.mp3,,audio/mpeg,media/mc_english_kent02_a.mp3,,,28802403,1800.150188,kent02,
kent02_a_wav,mc_english_kent02_a.wav,,audio/x-wav,media/mc_english_kent02_a.wav,,,158784780,1800.2804535147393,kent02,
kent02_a_eaf,mc_english_kent02_a.eaf,,application/eaf+xml,media/mc_english_kent02_a.eaf,,,4618213,,kent02,
kent02_a_xml,mc_english_kent02_a.xml,,application/xml,media/mc_english_kent02_a.xml,,,1600165,,kent02,
kent02_a_tsv,mc_english_kent02_a.tsv,,text/tab-separated-values,media/mc_english_kent02_a.tsv,,,287398,,kent02,
kent02_b_mp3,mc_english_kent02_b.mp3,,audio/mpeg,media/mc_english_kent02_b.mp3,,,31395422,1962.213875,kent02,
kent02_b_wav,mc_english_kent02_b.wav,,audio/x-wav,media/mc_english_kent02_b.wav,,,173078758,1962.3436961451248,kent02,
kent02_b_eaf,mc_english_kent02_b.eaf,,application/eaf+xml,media/mc_english_kent02_b.eaf,,,5312093,,kent02,
kent02_b_xml,mc_english_kent02_b.xml,,application/xml,media/mc_english_kent02_b.xml,,,1838109,,kent02,
kent02_b_tsv,mc_english_kent02_b.tsv,,text/tab-separated-values,media/mc_english_kent02_b.tsv,,,330277,,kent02,
kent03_a_mp3,mc_english_kent03_a.mp3,,audio/mpeg,media/mc_english_kent03_a.mp3,,,24122095,1507.604898,kent03,
kent03_a_wav,mc_english_kent03_a.wav,,audio/x-wav,media/mc_english_kent03_a.wav,,,265932484,1507.553514739229,kent03,
kent03_a_eaf,mc_english_kent03_a.eaf,,application/eaf+xml,media/mc_english_kent03_a.eaf,,,3929271,,kent03,
kent03_a_xml,mc_english_kent03_a.xml,,application/xml,media/mc_english_kent03_a.xml,,,1355313,,kent03,
kent03_a_tsv,mc_english_kent03_a.tsv,,text/tab-separated-values,media/mc_english_kent03_a.tsv,,,250762,,kent03,
kent03_b_mp3,mc_english_kent03_b.mp3,,audio/mpeg,media/mc_english_kent03_b.mp3,,,28794879,1799.653878,kent03,
kent03_b_wav,mc_english_kent03_b.wav,,audio/x-wav,media/mc_english_kent03_b.wav,,,317451464,1799.6112244897959,kent03,
kent03_b_eaf,mc_english_kent03_b.eaf,,application/eaf+xml,media/mc_english_kent03_b.eaf,,,4372290,,kent03,
kent03_b_xml,mc_english_kent03_b.xml,,application/xml,media/mc_english_kent03_b.xml,,,1517541,,kent03,
kent03_b_tsv,mc_english_kent03_b.tsv,,text/tab-separated-values,media/mc_english_kent03_b.tsv,,,280442,,kent03,
ondon01_b_mp3,mc_english_london01_b.mp3,,audio/mpeg,media/mc_english_london01_b.mp3,,,28484753,1780.27102,london01,
ondon01_b_wav,mc_english_london01_b.wav,,audio/x-wav,media/mc_english_london01_b.wav,,,314034240,1780.2392063492064,london01,
ondon01_b_eaf,mc_english_london01_b.eaf,,application/eaf+xml,media/mc_english_london01_b.eaf,,,4123458,,london01,
ondon01_b_xml,mc_english_london01_b.xml,,application/xml,media/mc_english_london01_b.xml,,,1452677,,london01,
ondon01_b_tsv,mc_english_london01_b.tsv,,text/tab-separated-values,media/mc_english_london01_b.tsv,,,296842,,london01,
ondon01_a_mp3,mc_english_london01_a.mp3,,audio/mpeg,media/mc_english_london01_a.mp3,,,28109426,1756.813061,london01,
ondon01_a_wav,mc_english_london01_a.wav,,audio/x-wav,media/mc_english_london01_a.wav,,,309897260,1756.7869387755102,london01,
ondon01_a_eaf,mc_english_london01_a.eaf,,application/eaf+xml,media/mc_english_london01_a.eaf,,,3979030,,london01,
ondon01_a_xml,mc_english_london01_a.xml,,application/xml,media/mc_english_london01_a.xml,,,1400091,,london01,
ondon01_a_tsv,mc_english_london01_a.tsv,,text/tab-separated-values,media/mc_english_london01_a.tsv,,,288670,,london01,
