ID,Source_Referent_ID,Target_Referent_ID,Relation
1,1006,1000,>
2,1008,1006,<
3,1017,1004,>
4,1025,1004,>
5,1025,1020,>
6,1030,1020,M
7,1033,1000,>
8,1044,1043,<
9,1045,1043,<
10,1050,1000,>
11,1057,1000,>
12,1057,1050,>
13,1070,1006,<
14,1082,1067,>
15,1089,1088,M
16,1090,1087,M
17,1091,1088,M
18,1092,1087,M
19,1096,1029,M
20,1097,1000,M
21,1107,1067,<
22,1108,1077,>
23,1124,1000,>
24,1126,1000,>
25,1129,1126,>
26,1129,1128,>
27,1131,1125,M
28,1140,1139,>
29,1143,1000,M
30,1147,1146,>
31,1157,1153,>
32,1157,1155,>
33,1161,1000,>
34,1169,1167,>
35,1179,1177,<
36,1180,1177,<
37,1187,1179,M
38,1189,1188,M
39,1193,1194,M
40,1195,1192,<
41,1203,1000,>
42,1227,1226,<
43,1229,1227,<
44,1230,1227,<
45,1239,1226,<
46,1244,1075,>
47,1252,1000,>
48,1257,1255,M
49,1259,1248,M
50,1261,1260,M
51,1274,1252,M
52,1276,1264,>
53,1289,1287,M
54,1294,1293,<
55,1297,1288,M
56,1306,1303,<
57,1310,1309,>
58,1317,1167,M
59,1326,1327,M
60,2009,2010,M
61,2014,2000,>
62,2014,2003,>
63,2014,2011,>
64,2014,2012,>
65,2014,2013,>
66,2028,2026,<
67,2029,2000,>
68,2029,2012,>
69,2030,2026,<
70,2038,2034,>
71,2050,2051,M
72,2077,2076,M
73,2079,2076,M
74,2080,2078,<
75,2081,2078,<
76,2083,2078,<
77,2085,2076,M
78,2111,2092,>
79,2111,2098,>
80,2117,2116,<
81,2118,2117,<
82,2119,2000,>
83,2119,2003,>
84,2121,2044,M
85,2122,2118,M
86,2124,2123,M
87,2127,2118,M
88,2128,2075,M
89,2131,2118,>
90,2131,2130,>
91,2133,2131,<
92,2145,2144,M
93,2146,2144,M
94,2146,2145,<
95,2151,2141,<
96,2152,2141,<
97,2152,2151,<
98,2154,2141,<
99,2154,2151,<
100,2155,2149,<
101,2156,2141,<
102,2156,2151,>
103,2162,2161,>
104,2165,2000,<
105,2167,2162,<
106,2170,2162,<
107,2172,2170,M
108,2182,2044,>
109,2182,2181,>
110,2184,2003,>
111,2184,2011,>
112,2199,2003,>
113,2199,2194,>
114,2205,2204,M
115,2206,2203,M
116,2209,2203,M
117,2223,2000,>
118,2225,2000,>
119,2231,2229,>
120,2231,2230,>
121,2235,2234,M
122,2236,2234,<
123,2239,2237,M
124,2241,2000,M
125,2242,2228,<
126,2243,2228,>
127,2243,2242,>
128,2244,2016,>
129,2244,2020,>
130,2244,2021,>
131,2244,2036,>
132,2245,2228,<
133,2245,2243,<
134,2246,2016,M
135,2247,2231,<
136,2248,2231,<
137,2249,2228,<
138,2249,2243,<
139,2250,2231,<
140,2251,2228,>
141,2251,2242,>
142,2251,2245,>
143,2251,2249,>
144,2259,2256,<
145,2263,2262,>
146,2264,2000,>
147,2264,2188,>
148,2268,2263,<
149,2272,2268,M
150,2277,2256,<
151,2278,2256,<
152,2285,2284,M
153,2295,2000,>
154,2299,2298,>
155,2302,2021,M
156,2306,2003,M
157,2307,2000,M
158,3010,3000,M
159,3013,3000,>
160,3015,3003,<
161,3016,3013,>
162,3021,3000,M
163,3023,3000,>
164,3023,3022,>
165,3024,3003,<
166,3025,3003,<
167,3026,3003,<
168,3027,3013,<
169,3030,3000,>
170,3030,3027,>
171,3038,3036,>
172,3039,3038,<
173,3057,3056,M
174,3065,3000,>
175,3065,3063,>
176,3069,3000,>
177,3069,3062,>
178,3069,3063,>
179,3073,3072,<
180,3079,3075,<
181,3084,3082,<
182,3090,3085,<
183,3091,3086,<
184,3092,3086,<
185,3092,3091,<
186,3093,3086,<
187,3093,3091,<
188,3099,3000,>
189,3099,3096,>
190,3104,3000,>
191,3104,3027,>
192,3106,3103,<
193,3108,3013,<
194,3110,3000,>
195,3110,3108,>
196,3111,3027,>
197,3111,3108,>
198,3126,3125,<
199,3127,3125,<
200,3129,3125,<
201,3130,3126,>
202,3130,3127,>
203,3130,3129,>
204,3135,3000,>
205,3135,3108,>
206,3139,3125,<
207,3142,3133,<
208,3147,3144,>
209,3147,3145,>
210,3151,3026,<
211,3153,3152,M
212,3162,3161,<
213,3163,3162,>
214,3163,3161,<
215,3166,3161,<
216,3170,3033,M
217,3174,3173,<
218,3186,3161,<
219,3187,3161,<
220,3191,3190,>
221,3196,3193,<
222,3198,3197,<
223,3203,3201,<
224,3206,3205,>
225,3211,3206,<
226,3222,3027,M
227,3224,3223,M
228,3227,3224,M
229,3234,3230,<
230,3247,3242,M
231,3252,3013,>
232,3264,3000,>
233,3264,3248,>
234,3265,3000,>
235,3265,3248,>
236,3277,3269,>
237,3284,3265,<
238,3285,3265,<
239,3290,3244,>
240,3295,3294,<
241,3305,3298,>
242,3305,3304,>
243,3314,3310,>
244,3314,3311,>
245,3314,3313,>
246,3322,3305,M
247,3324,3323,<
248,3326,3325,<
249,3331,3000,M
250,3335,3000,M
251,3336,3000,M
252,3338,3337,M
253,3364,3365,M
254,3369,3000,>
255,3373,3372,<
256,3374,3373,<
257,3375,3373,<
258,3383,3380,>
259,3386,3384,<
260,3388,3000,>
261,3393,3389,<
262,3402,3401,M
263,3417,3416,<
264,3431,3428,<
265,3432,3428,<
266,3434,3430,<
267,3435,3428,<
268,3445,3442,M
269,3447,3000,>
270,3447,3446,>
271,3451,3442,M
272,3452,3442,M
273,3453,3442,M
274,3462,3463,M
275,3463,3459,M
276,3465,3462,M
277,3473,3469,<
278,3476,3475,>
279,3477,3000,>
280,3477,3459,>
281,3484,3000,>
282,3484,3001,>
283,3487,3486,<
284,3492,3491,>
285,3495,3490,M
286,3497,3000,>
287,3497,3490,>
288,3500,3490,M
289,3503,3492,<
290,3505,3191,<
291,3506,3505,M
292,3509,3502,M
293,3510,3502,M
294,3511,3502,M
295,3513,3502,M
296,3514,3502,M
297,3515,3502,M
298,3517,3502,M
299,3518,3000,M
300,3520,3502,>
301,3521,3520,M
302,3543,3013,<
303,3549,3543,>
304,3549,3013,<
305,3569,3568,M
306,3580,3000,>
307,3582,3000,>
308,3582,3580,>
309,3587,3585,<
310,3594,3000,>
311,3594,3016,>
312,3594,3108,>
313,3594,3013,<
314,3610,3609,>
315,3637,3016,>
316,3637,3027,>
317,3647,3369,<
318,3651,3647,M
319,3652,3647,<
320,3655,3653,<
321,3670,3665,>
