refind,label,description,class,notes
∅,,,,
1000,(speaker),,hum,
1001,(interviewer),,hum,
1003,Moreleigh,,loc,
1004,Churston,,loc,
1005,the choir,at Moreleigh,abs,
1006,we,speaker's family,hum,
1007,the priest,in Moreleigh,hum,
1008,mother,of speaker,hum,
1009,a letter,,inm,
1010,the priest,in Churston,hum,
1011,any member,of the church,hum,
1012,the church,,abs,
1013,a bike,,inm,
1014,Holston,,loc,
1015,the choir,at Churston,abs,
1016,the village school,,loc,
1017,Churston Cross,,loc,
1018,Churston Ferrers,,loc,
1019,the parish,,abs,
1020,Galmpton,,loc,
1021,the Churston side,,loc,
1022,Lord Churston,,hum,
1023,the Galmpton side,,loc,
1024,Blomiley family,,hum,
1025,the two villages,,abs,
1026,the Galmpton people,,hum,
1027,a chapel,in Galmpton,inm,
1028,Furzeham,,loc,
1029,Brixham Ward,,loc,
1030,a small part,of Galmpton,abs,
1031,South Hams,,loc,
1032,these alterations,,abs,
1033,we,speaker and people in Churston,hum,
1034,a parish council,,abs,
1035,the management,,abs,
1036,the rural district,,abs,
1037,parish meeting,,abs,
1038,the different views,,abs,
1039,the change,,abs,
1040,the Torbay Borough,,loc,
1041,which,being under 0040,abs,
1042,they,Torbay officials,hum,
1043,some great improvements,,abs,
1044,the Windy Corner,,loc,
1045,Churston Bridge,,inm,
1046,two more hiccups,,abs,
1047,that serious accident,,abs,
1048,it,,abs,
1049,school days,,tme,
1050,we,speaker and other students,hum,
1051,the bell,,inm,
1052,our hats,of 0050,inm,
1053,the porch,,loc,
1054,a really good schoomaster,Wesley Waidman,hum,
1055,that,0054 being the church warden,abs,
1057,sixty pupils,,hum,
1058,the boys,,hum,
1059,a woman teacher,,hum,
1060,that,0058 coming to Churston,abs,
1061,my daughter,of 0000,hum,
1062,the things,,abs,
1063,divisions,,abs,
1064,some fields,,loc,
1065,a farm,Lupton Barton,loc,
1066,the farmhouse,,inm,
1067,the cows,,anm,
1068,eighteen pence,,inm,
1069,that,farming,abs,
1070,my father,of 0000,hum,
1071,a farm,,loc,
1072,a trade,,abs,
1073,somebody,,hum,
1074,a job,in a shipyard,abs,
1075,a shipyard,Hugh Jackson and Son,loc,
1076,ships,,inm,
1077,the boss,at 0071,hum,
1078,your money,,abs,
1079,that,doubling 0078,abs,
1080,that,(events),abs,
1081,mi working,of 0000,abs,
1082,those animals,at 0071,anm,
1083,a pig,,anm,
1084,a toothache,,abs,
1085,one Saturday,,tme,
1086,the milk,,mss,
1087,the big house,Lupton House,loc,
1088,the milk,,mss,
1089,so much,milk,mss,
1090,the kitchen,,loc,
1091,so much,milk,mss,
1092,the still room,,loc,
1093,the still room maid,,hum,
1094,a shilling,,inm,
1095,Sunday morning,,tme,
1096,Brixham,,loc,
1097,this tooth,of 0000,bdp,
1098,the first doctor,,hum,
1099,his books,of 0098,inm,
1100,mi job,at 0071,abs,
1101,'t,life,abs,
1102,all the young calves,,anm,
1103,their mothers,of 0102,anm,
1104,a farmer,down Churston Court,hum,
1105,Churston Court,,loc,
1106,the church,in Churston,inm,
1107,one,cow,anm,
1108,they,owners of 0071,hum,
1109,the sale,,abs,
1110,shipyard building,,abs,
1111,the end,of the sale,abs,
1112,the back way,,abs,
1113,the gap,,loc,
1114,the railway line,,loc,
1115,the corner,,loc,
1116,this field,,loc,
1117,where,0000 got over the wall,loc,
1118,the wall,,inm,
1119,that,(events),abs,
1120,that,(events),abs,
1121,ship-wrighting,,abs,
1122,the shipwrights,,hum,
1123,an apprenticeship,,abs,
1124,we,speaker and shipwrights,hum,
1125,elm trees,,inm,
1126,each apprentice,,hum,
1127,the saw pit,,loc,
1128,a man,,hum,
1129,their,shipwrights,hum,
1130,steam saw,,inm,
1131,two seven-inch slices,,inm,
1132,the keel,,inm,
1133,the smaller timbers,,inm,
1134,a band saw,,inm,
1135,the curves,,abs,
1136,several boats,,inm,
1137,the list,of boats,abs,
1138,a fellow,,hum,
1139,a nail,,inm,
1140,cast iron nails,,inm,
1141,the wood,,inm,
1142,the hammer,,inm,
1143,the eye,of 0000,bdp,
1144,the sight,of speaker's eye,abs,
1145,the compensation,,abs,
1146,one,of the questions,abs,
1147,the questions,,abs,
1148,the accident,,abs,
1149,mi earnings,,abs,
1150,mi employers,,hum,
1151,the river,,loc,
1152,Samwell,,hum,
1153,(zero),Samwell's yard,loc,
1154,the Provident,a boat,inm,
1155,the man,,hum,
1156,six years,,abs,
1157,we,people at 0153,hum,
1158,our boys,apprentices at 0153,hum,
1159,the name,of the first yard,abs,
1160,them,people at 0075,hum,
1161,we,speaker and people at 0153,hum,
1162,three ships,,inm,
1163,a big yacht,the Sarina,inm,
1164,other trawlers,,inm,
1165,Oars Bank,,hum,
1166,the last,speaker heard of 0163,abs,
1167,war,the First World War,abs,
1168,one,of the balloons,inm,
1169,these balloons,,inm,
1170,the planes,,inm,
1171,that,(events),abs,
1172,that,(events),abs,
1173,another job,,abs,
1174,mi bike,of speaker,inm,
1175,Paignton,,loc,
1176,Livermead Cliff Hotel,,inm,
